Rank,School,Conf,Prev,Quad 1 W,Quad 1 L,Quad 2 W,Quad 2 L,Quad 3 W,Quad 3 L,Quad 4 W,Quad 4 L,W,L,Road W,Road L,Home W,Home L,Neutral W,Neutral L,Non-Div I W,Non-Div I L
1,Michigan,Big Ten,1,4,0,5,0,3,0,2,0,14,0,3,0,7,0,4,0,0,0
2,Arizona,Big 12,2,4,0,3,0,1,0,7,0,15,0,2,0,9,0,4,0,0,0
3,Iowa St.,Big 12,3,5,0,2,0,1,0,7,0,15,0,2,0,9,0,4,0,0,0
4,Duke,ACC,5,5,1,2,0,2,0,5,0,14,1,4,0,7,0,3,1,0,0
5,Gonzaga,WCC,4,3,1,3,0,5,0,5,0,16,1,3,0,8,0,5,1,0,0
6,Vanderbilt,SEC,7,5,0,3,0,2,0,5,0,15,0,4,0,8,0,3,0,0,0
7,Purdue,Big Ten,6,4,1,2,0,6,0,2,0,14,1,3,0,8,1,3,0,0,0
8,UConn,Big East,8,4,1,5,0,2,0,4,0,15,1,4,0,8,1,3,0,0,0
9,BYU,Big 12,9,4,1,2,0,3,0,5,0,14,1,1,0,7,0,6,1,0,0
10,Illinois,Big Ten,10,3,3,2,0,0,0,6,0,11,3,2,0,7,1,2,2,0,0
11,Nebraska,Big Ten,11,4,0,4,0,0,0,7,0,15,0,2,0,10,0,3,0,0,0
12,Michigan St.,Big Ten,12,4,2,2,0,3,0,4,0,13,2,1,1,8,1,4,0,0,0
13,Alabama,SEC,13,2,4,4,0,3,0,2,0,11,4,1,1,6,1,4,2,0,0
14,Houston,Big 12,14,3,1,3,0,3,0,5,0,14,1,1,0,8,0,5,1,0,0
15,Louisville,ACC,15,2,4,2,0,1,0,6,0,11,4,1,3,8,1,2,0,0,0
16,Utah St.,Mountain West,16,0,1,2,0,6,0,4,0,12,1,3,1,5,0,4,0,1,0
17,Kansas,Big 12,17,2,4,4,0,1,0,4,0,11,4,1,2,7,1,3,1,0,0
18,Iowa,Big Ten,19,0,2,2,1,2,0,8,0,12,3,0,3,9,0,3,0,0,0
19,Florida,SEC,22,2,5,2,0,1,0,5,0,10,5,0,2,7,0,3,3,0,0
20,Texas Tech,Big 12,20,2,4,2,0,3,0,4,0,11,4,0,2,8,0,3,2,0,0
21,Virginia,ACC,26,2,2,3,0,1,0,7,0,13,2,2,1,9,0,2,1,0,0
22,North Carolina,ACC,21,3,2,0,0,4,0,6,0,13,2,1,1,10,0,2,1,0,0
23,Tennessee,SEC,24,2,3,1,1,2,0,6,0,11,4,0,2,9,0,2,2,0,0
24,Saint Louis,Atlantic 10,29,1,0,1,1,3,0,8,0,13,1,2,0,10,0,1,1,1,0
25,Saint Mary's (CA),WCC,23,0,1,3,1,7,0,4,0,14,2,3,0,9,0,2,2,1,0
26,Arkansas,SEC,27,3,3,1,0,1,0,7,0,12,3,1,1,10,0,1,2,0,0
27,SMU,ACC,25,2,3,3,0,2,0,5,0,12,3,1,2,10,0,1,1,0,0
28,Georgia,SEC,28,0,2,3,0,2,0,8,0,13,2,1,1,10,0,2,1,0,0
29,Villanova,Big East,18,2,2,1,1,3,0,6,0,12,3,3,1,7,1,2,1,0,0
30,Indiana,Big Ten,30,0,2,2,1,3,0,7,0,12,3,1,2,10,0,1,1,0,0
31,St. John's (NY),Big East,31,2,4,0,0,5,1,3,0,10,5,2,0,7,2,1,3,0,0
32,Clemson,ACC,33,2,2,4,0,2,1,5,0,13,3,2,2,8,0,3,1,0,0
33,Miami (FL),ACC,34,1,2,1,0,3,0,8,0,13,2,2,0,10,0,1,2,0,0
34,UCF,Big 12,35,2,2,1,0,5,0,4,0,12,2,1,1,9,1,2,0,0,0
35,Kentucky,SEC,32,2,5,0,1,0,0,7,0,9,6,0,2,8,2,1,2,0,0
36,NC State,ACC,36,0,4,3,1,4,0,4,0,11,5,1,1,8,2,2,2,0,0
37,Auburn,SEC,37,1,5,1,1,1,0,6,0,9,6,0,2,6,1,3,3,0,0
