Rk,Team,Conf,G,W-L,AdjOE,AdjOE_Rk,AdjDE,AdjDE_Rk,Barthag,Barthag_Rk,EFG%,EFG%_Rk,EFGD%,EFGD%_Rk,TOR,TOR_Rk,TORD,TORD_Rk,ORB,ORB_Rk,DRB,DRB_Rk,FTR,FTR_Rk,FTRD,FTRD_Rk,2P%,2P%_Rk,2P%D,2P%D_Rk,3P%,3P%_Rk,3P%D,3P%D_Rk,3PR,3PR_Rk,3PRD,3PRD_Rk,AdjT,AdjT_Rk,WAB,WAB_Rk
1,Duke,ACC,31,29-2,128.4,5,90.3,1,0.9828,1,57.4,14,45.8,10,15.5,94,18.5,72,37.2,16,24.9,9,37.9,105,22.7,2,61.0,4,46.2,16,35.3,100,30.1,14,44.2,86,45.6,339,66.0,264,12.0,2
2,Michigan,B10,30,28-2,128.7,4,90.9,2,0.9819,2,58.8,9,44.0,1,16.9,186,16.0,225,36.3,22,28.1,68,38.5,91,26.2,14,62.0,2,43.9,3,36.2,52,29.5,7,42.2,130,42.2,273,71.8,17,12.2,1
3,Florida,SEC,31,25-6,127.0,9,92.0,4,0.9759,3,54.0,70,46.0,11,16.1,137,15.4,258,42.7,2,24.8,7,38.5,91,33.8,144,58.3,19,44.8,6,31.3,310,32.2,77,37.4,224,33.4,22,70.7,30,8.1,5
4,Arizona,B12,31,29-2,125.6,13,91.2,3,0.9752,4,55.0,42,44.6,2,15.2,72,16.9,161,38.4,6,26.2,23,42.9,23,28.6,39,55.7,50,43.4,2,35.3,100,31.2,37,26.9,363,37.1,102,70.4,34,11.6,3
5,Illinois,B10,30,23-7,132.3,1,97.7,22,0.9704,5,55.1,38,47.3,26,13.4,10,11.7,365,39.1,3,26.7,29,32.9,238,19.6,1,57.5,28,47.1,30,35.2,109,31.8,53,51.2,9,41.2,242,65.9,270,6.5,13
6,Houston,B12,31,26-5,125.7,11,93.3,5,0.9685,6,52.3,138,46.9,19,12.7,2,21.4,10,36.0,26,31.0,201,26.6,355,39.0,281,52.7,146,46.6,21,34.5,155,31.5,48,41.6,140,41.7,260,63.5,351,7.8,7
7,Purdue,B10,31,23-8,131.5,2,101.2,39,0.9532,7,57.9,11,52.3,228,13.8,17,15.9,230,35.9,28,26.0,20,28.3,340,27.5,24,58.0,24,53.1,234,38.5,12,34.2,185,40.8,151,45.8,343,65.1,308,6.5,12
8,Connecticut,BE,31,27-4,123.7,24,95.2,12,0.9531,8,55.6,30,45.6,7,16.5,163,18.3,89,34.9,49,28.6,90,31.2,278,40.1,298,56.9,36,45.2,8,35.7,72,30.8,34,40.0,169,35.8,71,65.1,305,8.5,4
9,Iowa St.,B12,31,25-6,122.6,29,94.5,8,0.9524,9,56.3,21,49.8,89,15.1,69,22.4,4,35.4,37,28.3,75,34.9,185,28.3,35,55.5,52,50.6,121,38.3,15,32.5,88,38.7,196,43.1,296,67.3,191,6.4,14
10,Texas Tech,B12,31,22-9,127.3,7,99.2,27,0.9466,10,56.6,19,49.1,72,15.9,121,14.7,308,33.8,73,30.2,165,27.4,345,31.8,93,54.0,89,50.4,117,39.6,5,31.2,37,47.9,26,35.2,52,66.5,234,5.2,20
11,Michigan St.,B10,30,25-5,121.8,34,95.1,11,0.9452,11,53.7,79,47.7,37,17.3,225,14.9,298,38.7,4,22.5,1,36.4,147,30.1,64,54.0,89,47.4,36,35.6,77,32.0,64,36.7,235,46.1,344,65.9,269,7.9,6
12,Gonzaga,WCC,31,28-3,120.6,39,94.4,7,0.9439,12,56.3,21,46.5,16,13.6,14,20.7,15,35.0,46,25.0,10,31.0,285,31.8,93,58.6,18,46.2,16,34.0,172,31.2,37,30.7,346,43.5,310,69.5,76,6.6,11
13,Tennessee,SEC,31,21-10,121.9,31,95.9,14,0.9406,13,52.1,147,48.0,41,17.5,234,16.4,191,45.3,1,27.3,49,38.0,102,36.0,211,52.7,146,49.3,72,33.8,185,30.8,34,32.1,327,44.3,326,65.6,282,3.8,26
14,Louisville,ACC,31,22-9,125.8,10,99.0,26,0.9403,14,56.8,16,48.6,52,16.3,151,16.7,174,33.1,85,26.6,27,33.5,225,33.7,142,59.6,10,48.5,48,36.3,48,32.6,93,53.2,4,39.4,182,70.2,45,3.9,25
15,Vanderbilt,SEC,31,24-7,125.6,12,99.2,29,0.9377,15,55.6,30,48.5,50,13.6,14,18.0,100,31.3,147,30.3,178,38.4,94,41.5,315,57.7,26,49.4,75,35.4,95,31.4,45,43.9,92,38.4,144,69.6,69,5.9,15
16,Alabama,SEC,31,23-8,130.1,3,102.9,60,0.9369,16,55.6,30,49.1,72,13.2,7,12.7,361,32.3,115,33.0,298,37.1,132,33.0,124,57.6,27,48.6,55,35.9,63,33.3,137,53.9,1,35.3,55,73.0,4,6.9,9
17,Virginia,ACC,31,27-4,121.4,36,96.3,15,0.9351,17,54.4,59,45.4,6,15.9,121,15.8,234,38.3,7,28.7,98,33.9,215,33.0,124,55.4,55,45.2,8,35.5,87,30.5,27,46.8,34,37.6,118,65.8,272,6.8,10
18,Nebraska,B10,30,25-5,118.1,57,93.6,6,0.9349,18,55.6,30,47.3,26,14.3,29,19.1,47,26.4,312,27.4,55,26.8,351,24.8,6,58.2,22,50.1,103,35.3,100,29.6,9,50.6,15,49.0,360,66.9,215,7.1,8
19,Kansas,B12,31,22-9,119.4,47,94.8,10,0.9345,19,52.5,128,45.1,4,15.6,105,13.8,341,29.4,222,30.2,165,31.6,267,27.4,23,52.2,164,45.1,7,35.4,95,30.0,13,35.7,257,42.3,275,67.6,174,5.9,16
