net_rank,school,conference,Prev,quad1_w,quad1_l,quad2_w,quad2_l,quad3_w,quad3_l,quad4_w,quad4_l,w,l,road_w,road_l,home_w,home_l,neutral_w,neutral_l,non_div1_w,non_div1_l,w_pct,ap_rank,conference_wins,conference_losses,conf_win_pct,conf_rank,sos_rank,sos,top50_opp_count,conf_tournament_champ,bid_type,seed_score,s_curve,seed,first_four
2,Michigan,Big Ten,2,13,2,8,0,5,0,2,0,28,2,11,0,13,1,4,1,0,0,0.9333333333333333,3.0,18,1,0.947,1,6.0,0.9033422031962418,17.0,False,auto,141.72,1,1,False
1,Duke,ACC,1,15,2,5,0,2,0,7,0,29,2,10,1,15,0,4,1,0,0,0.9354838709677419,1.0,16,1,0.941,1,19.0,0.8736317106530999,15.0,False,auto,140.39999999999998,2,1,False
3,Arizona,Big 12,3,15,2,5,0,2,0,7,0,29,2,9,1,16,1,4,0,0,0,0.9354838709677419,2.0,15,2,0.882,1,18.0,0.8743766810498634,16.0,False,auto,136.56,3,1,False
4,Florida,SEC,4,11,5,7,1,2,0,5,0,25,6,8,2,14,1,3,3,0,0,0.8064516129032258,5.0,15,2,0.882,1,14.0,0.8772206739704798,16.0,False,auto,97.74,4,1,False
9,UConn,Big East,8,7,2,9,1,6,1,5,0,27,4,9,2,15,2,3,0,0,0,0.8709677419354839,4.0,17,2,0.895,2,,,,False,at-large,92.88,5,2,False
7,Houston,Big 12,7,7,5,11,0,2,0,6,0,26,5,6,3,15,1,5,1,0,0,0.8387096774193549,7.0,13,4,0.765,2,,,,False,at-large,85.86,6,2,False
6,Gonzaga,WCC,6,6,2,4,0,10,1,8,0,28,3,8,2,15,0,5,1,0,0,0.9032258064516129,12.0,16,2,0.889,1,,,,False,auto,78.36,7,2,False
11,Michigan State,Big Ten,11,9,5,5,0,7,0,4,0,25,5,6,3,15,2,4,0,0,0,0.8333333333333334,8.0,15,4,0.789,2,13.0,0.8782179129853005,15.0,False,at-large,76.02,8,2,False
14,Virginia,ACC,13,6,3,9,1,5,0,7,0,27,4,8,2,16,1,3,1,0,0,0.8709677419354839,13.0,14,3,0.824,2,,,,False,at-large,74.82,9,3,False
8,Iowa State,Big 12,10,6,6,10,0,2,0,7,0,25,6,5,5,16,1,4,0,0,0,0.8064516129032258,6.0,11,6,0.647,4,,,,False,at-large,68.39999999999999,10,3,False
12,Nebraska,Big Ten,12,8,5,5,0,6,0,6,0,25,5,7,3,15,2,3,0,0,0,0.8333333333333334,9.0,14,5,0.737,3,,,,False,at-large,67.97999999999999,11,3,False
5,Illinois,Big Ten,5,7,7,7,0,4,0,5,0,23,7,7,2,14,3,2,2,0,0,0.7666666666666667,11.0,14,5,0.737,4,11.0,0.8804327299088672,15.0,False,at-large,63.9,12,3,False
16,Vanderbilt,SEC,18,8,6,8,1,2,0,6,0,24,7,8,4,13,3,3,0,0,0,0.7741935483870968,24.0,10,7,0.588,5,,,,False,at-large,59.279999999999994,13,4,False
17,Alabama,SEC,16,8,7,8,1,5,0,2,0,23,8,7,3,12,3,4,2,0,0,0.7419354838709677,16.0,12,5,0.706,2,5.0,0.9055449332273745,17.0,False,at-large,57.81935483870968,14,4,False
10,Purdue,Big Ten,9,8,8,5,0,7,0,3,0,23,8,8,3,12,5,3,0,0,0,0.7419354838709677,15.0,13,6,0.684,5,9.0,0.8908354259115562,16.0,False,at-large,56.55935483870967,15,4,False
22,St. John's (NY),Big East,22,4,5,9,0,9,1,3,0,25,6,9,1,15,2,1,3,0,0,0.8064516129032258,18.0,18,2,0.900,1,,,,False,auto,46.019999999999996,16,4,False
