,GameID,Date,Venue,Home Team,Home Rank,Home Points,Away Team,Away Rank,Away Points,Winner
0,2025-11-03-Lehigh-vs-Houston-m,2025-11-03,"Hofheinz Pavilion, Houston, Texas",Houston, 2 ,75,Lehigh,NR,57,Houston
1,2025-11-03-Arizona-vs-Florida-m,2025-11-03,"T-Mobile Arena, Las Vegas, Nevada",Florida, 3 ,87,Arizona, 13 ,93,Arizona
2,2025-11-03-New Haven-vs-UConn-m,2025-11-03,"Harry A. Gampel Pavilion, Storrs, Connecticut",UConn, 4 ,79,New Haven,NR,55,UConn
3,2025-11-03-Quinnipiac-vs-St. John's (NY)-m,2025-11-03,"Carnesecca Arena, Jamaica, New York",St. John's (NY), 5 ,108,Quinnipiac,NR,74,St. John's (NY)
4,2025-11-03-Oakland-vs-Michigan-m,2025-11-03,"Crisler Arena, Ann Arbor, Michigan",Michigan, 7 ,121,Oakland,NR,78,Michigan
5,2025-11-03-Villanova-vs-BYU-m,2025-11-03,"T-Mobile Arena, Las Vegas, Nevada",BYU, 8 ,71,Villanova,NR,66,BYU
6,2025-11-03-South Carolina State-vs-Louisville-m,2025-11-03,"KFC Yum! Center, Louisville, Kentucky",Louisville, 11 ,104,South Carolina State,NR,45,Louisville
7,2025-11-03-Eastern Washington-vs-UCLA-m,2025-11-03,"Pauley Pavilion, Los Angeles, California",UCLA, 12 ,80,Eastern Washington,NR,74,UCLA
8,2025-11-03-Southern-vs-Arkansas-m,2025-11-03,"Bud Walton Arena, Fayetteville, Arkansas",Arkansas, 14 ,109,Southern,NR,77,Arkansas
9,2025-11-03-North Dakota-vs-Alabama-m,2025-11-03,"Coleman Coliseum , Tuscaloosa, Alabama",Alabama, 15 ,91,North Dakota,NR,62,Alabama
10,2025-11-03-FDU-vs-Iowa State-m,2025-11-03,"James H. Hilton Coliseum , Ames, Iowa",Iowa State, 16 ,88,FDU,NR,50,Iowa State
11,2025-11-03-Jackson State-vs-Illinois-m,2025-11-03,"State Farm Center, Champaign, Illinois",Illinois, 17 ,113,Jackson State,NR,55,Illinois
12,2025-11-03-Mercer-vs-Tennessee-m,2025-11-03,"Thompson-Boling Arena, Knoxville, Tennessee",Tennessee, 18 ,76,Mercer,NR,61,Tennessee
13,2025-11-03-Green Bay-vs-Kansas-m,2025-11-03,"Allen Fieldhouse, Lawrence, Kansas",Kansas, 19 ,94,Green Bay,NR,51,Kansas
14,2025-11-03-Bethune-Cookman-vs-Auburn-m,2025-11-03,"Auburn Arena, Auburn, Alabama",Auburn, 20 ,95,Bethune-Cookman,NR,90,Auburn
15,2025-11-03-Texas Southern-vs-Gonzaga-m,2025-11-03,"McCarthey Athletic Center, Spokane, Washington",Gonzaga, 21 ,98,Texas Southern,NR,43,Gonzaga
16,2025-11-03-Colgate-vs-Michigan State-m,2025-11-03,"Breslin Events Center, East Lansing, Michigan",Michigan State, 22 ,80,Colgate,NR,69,Michigan State
17,2025-11-03-Campbell-vs-Wisconsin-m,2025-11-03,"Kohl Center, Madison, Wisconsin",Wisconsin, 24 ,96,Campbell,NR,64,Wisconsin
18,2025-11-03-Central Arkansas-vs-UNC-m,2025-11-03,"Dean Smith Center, Chapel Hill, North Carolina",UNC, 25 ,94,Central Arkansas,NR,54,UNC
19,2025-11-03-James Madison-vs-Akron-m,2025-11-03,"James A. Rhodes Arena, Akron, Ohio",Akron,NR,85,James Madison,NR,71,Akron
20,2025-11-03-Hofstra-vs-UCF-m,2025-11-03,"CFE Arena, Orlando, Florida",UCF,NR,82,Hofstra,NR,78,UCF
21,2025-11-03-Indiana State-vs-Charlotte-m,2025-11-03,"Dale F. Halton Arena, Charlotte, North Carolina",Charlotte,NR,92,Indiana State,NR,76,Charlotte
22,2025-11-03-Western Carolina-vs-Cincinnati-m,2025-11-03,"Fifth Third Arena, Cincinnati, Ohio",Cincinnati,NR,94,Western Carolina,NR,63,Cincinnati
23,2025-11-03-New Hampshire-vs-Clemson-m,2025-11-03,"Littlejohn Coliseum, Clemson, South Carolina",Clemson,NR,88,New Hampshire,NR,38,Clemson
24,2025-11-03-Canisius-vs-Dayton-m,2025-11-03,"University of Dayton Arena, Dayton, Ohio",Dayton,NR,88,Canisius,NR,48,Dayton
25,2025-11-03-Boston College-vs-Florida Atlantic-m,2025-11-03,"FAU Arena, Boca Raton, Florida",Florida Atlantic,NR,83,Boston College,NR,78,Florida Atlantic
26,2025-11-03-Wofford-vs-George Mason-m,2025-11-03,"EagleBank Arena, Fairfax, Virginia",George Mason,NR,70,Wofford,NR,46,George Mason
27,2025-11-03-Maryland-Eastern Shore-vs-Georgia Tech-m,2025-11-03,"McCamish Pavilion, Atlanta, Georgia",Georgia Tech,NR,56,Maryland-Eastern Shore,NR,52,Georgia Tech
28,2025-11-03-Kentucky Christian-vs-Liberty-m,2025-11-03,"Liberty Arena, Lynchburg, Virginia",Liberty,NR,98,Kentucky Christian,NR,57,Liberty
29,2025-11-03-IU Indianapolis-vs-Ohio State-m,2025-11-03,"Value City Arena, Columbus, Ohio",Ohio State,NR,118,IU Indianapolis,NR,102,Ohio State
30,2025-11-03-Fairfield-vs-Penn State-m,2025-11-03,"Bryce Jordan Center, University Park, Pennsylvania",Penn State,NR,76,Fairfield,NR,68,Penn State
31,2025-11-03-Youngstown State-vs-Pitt-m,2025-11-03,"Petersen Events Center, Pittsburgh, Pennsylvania",Pitt,NR,74,Youngstown State,NR,59,Pitt
32,2025-11-03-Navy-vs-Presbyterian-m,2025-11-03,"Templeton Center, Clinton, South Carolina",Presbyterian,NR,55,Navy,NR,76,Navy
33,2025-11-03-Holy Cross-vs-Providence-m,2025-11-03,"Dunkin' Donuts Center, Providence, Rhode Island",Providence,NR,89,Holy Cross,NR,79,Providence
34,2025-11-03-Binghamton-vs-Syracuse-m,2025-11-03,"JMA Wireless Dome, Syracuse, New York",Syracuse,NR,85,Binghamton,NR,47,Syracuse
35,2025-11-03-American-vs-Wake Forest-m,2025-11-03,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Wake Forest,NR,88,American,NR,74,Wake Forest
36,2025-11-03-Mississippi Valley State-vs-UAB-m,2025-11-03,"Bartow Arena, Birmingham, Alabama",UAB,NR,106,Mississippi Valley State,NR,55,UAB
37,2025-11-03-Bryan-vs-Austin Peay-m,2025-11-03,"F&M Bank Arena, Clarksville, Tennessee",Austin Peay,NR,128,Bryan,NR,47,Austin Peay
38,2025-11-03-Texas-Rio Grande Valley-vs-Baylor-m,2025-11-03,"Foster Pavilion, Waco, Texas",Baylor,NR,96,Texas-Rio Grande Valley,NR,81,Baylor
39,2025-11-03-Louisiana-Monroe-vs-Northern Illinois-m,2025-11-03,"Convocation Center, DeKalb, Illinois",Northern Illinois,NR,102,Louisiana-Monroe,NR,82,Northern Illinois
40,2025-11-03-Hawaii Pacific-vs-Boise State-m,2025-11-03,"ExtraMile Arena, Boise, Idaho",Boise State,NR,78,Hawaii Pacific,NR,79,Hawaii Pacific
41,2025-11-03-Montana State-vs-Colorado-m,2025-11-03,"Coors Events/Conference Center, Boulder, Colorado",Colorado,NR,84,Montana State,NR,78,Colorado
42,2025-11-03-Incarnate Word-vs-Colorado State-m,2025-11-03,"Moby Arena, Fort Collins, Colorado",Colorado State,NR,98,Incarnate Word,NR,64,Colorado State
43,2025-11-03-Westminster (UT)-vs-Utah State-m,2025-11-03,"Dee Glen Smith Spectrum, Logan, Utah",Utah State,NR,110,Westminster (UT),NR,54,Utah State
44,2025-11-03-Northern State-vs-Wyoming-m,2025-11-03,"Arena-Auditorium, Laramie, Wyoming",Wyoming,NR,99,Northern State,NR,75,Wyoming
45,2025-11-03-Cal State Bakersfield-vs-California-m,2025-11-03,"Haas Pavilion, Berkeley, California",California,NR,87,Cal State Bakersfield,NR,60,California
46,2025-11-03-UC-Santa Cruz-vs-San Francisco-m,2025-11-03,"War Memorial at The Sobrato Center, San Francisco, California",San Francisco,NR,98,UC-Santa Cruz,NR,53,San Francisco
47,2025-11-03-Cal Poly-vs-USC-m,2025-11-03,"Galen Center, Los Angeles, California",USC,NR,94,Cal Poly,NR,64,USC
48,2025-11-03-Arkansas-Pine Bluff-vs-Washington-m,2025-11-03,"Alaska Airlines Arena, Seattle, Washington",Washington,NR,94,Arkansas-Pine Bluff,NR,50,Washington
49,2025-11-03-Queens (NC)-vs-Winthrop-m,2025-11-03,"Rock Hill Sports & Event Center, Rock Hill, South Carolina",Winthrop,NR,81,Queens (NC),NR,74,Winthrop
50,2025-11-03-Bradley-vs-St. Bonaventure-m,2025-11-03,"Rock Hill Sports & Event Center, Rock Hill, South Carolina",St. Bonaventure,NR,69,Bradley,NR,63,St. Bonaventure
51,2025-11-03-Arlington Baptist-vs-East Texas A&M-m,2025-11-03,"Texas A&MâCommerce Field House, Commerce, Texas",East Texas A&M,NR,119,Arlington Baptist,NR,60,East Texas A&M
52,2025-11-03-Texas A&M–San Antonio-vs-Lamar-m,2025-11-03,"Montagne Center, Beaumont, Texas",Lamar,NR,93,Texas A&M–San Antonio,NR,53,Lamar
53,2025-11-03-College of Biblical Studies-vs-Prairie View-m,2025-11-03,"William J. Nicks Building, Prairie View, Texas",Prairie View,NR,95,College of Biblical Studies,NR,48,Prairie View
54,2025-11-03-Northern Arizona-vs-Drake-m,2025-11-03,"Sanford Pentagon, Sioux Falls, South Dakota",Drake,NR,77,Northern Arizona,NR,71,Drake
55,2025-11-03-Thomas (ME)-vs-Stonehill-m,2025-11-03,"Merkert Gymnasium, Easton, Massachusetts",Stonehill,NR,100,Thomas (ME),NR,48,Stonehill
56,2025-11-03-Southern Miss-vs-Buffalo-m,2025-11-03,"Alumni Arena, Buffalo, New York",Buffalo,NR,85,Southern Miss,NR,79,Buffalo
57,2025-11-03-Widener-vs-Drexel-m,2025-11-03,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",Drexel,NR,93,Widener,NR,59,Drexel
58,2025-11-03-Georgia State-vs-Eastern Michigan-m,2025-11-03,"Convocation Center, Ypsilanti, Michigan",Eastern Michigan,NR,71,Georgia State,NR,49,Eastern Michigan
59,2025-11-03-Furman-vs-High Point-m,2025-11-03,"Rock Hill Sports & Event Center, Rock Hill, South Carolina",High Point,NR,97,Furman,NR,71,High Point
60,2025-11-03-Morgan State-vs-Georgetown-m,2025-11-03,"Capital One Arena, Washington, District of Columbia",Georgetown,NR,87,Morgan State,NR,70,Georgetown
61,2025-11-03-Coppin State-vs-Maryland-m,2025-11-03,"CFG Bank Arena, Baltimore, Maryland",Maryland,NR,83,Coppin State,NR,61,Maryland
62,2025-11-03-Farmingdale State-vs-Stony Brook-m,2025-11-03,"Island Federal Credit Union, Stony Brook, New York",Stony Brook,NR,66,Farmingdale State,NR,59,Stony Brook
63,2025-11-03-Johnson & Wales (NC)-vs-VMI-m,2025-11-03,"Cameron Hall, Lexington, Virginia",VMI,NR,122,Johnson & Wales (NC),NR,58,VMI
64,2025-11-03-Louisiana-vs-Ball State-m,2025-11-03,"Worthen Arena, Muncie, Indiana",Ball State,NR,75,Louisiana,NR,64,Ball State
65,2025-11-03-Texas State-vs-Bowling Green-m,2025-11-03,"Stroh Center, Bowling Green, Ohio",Bowling Green,NR,83,Texas State,NR,48,Bowling Green
66,2025-11-03-Delaware-vs-Bucknell-m,2025-11-03,"Sojka Pavilion, Lewisburg, Pennsylvania",Bucknell,NR,78,Delaware,NR,70,Bucknell
67,2025-11-03-USC Upstate-vs-California Baptist-m,2025-11-03,"CBU Events Center, Riverside, California",California Baptist,NR,87,USC Upstate,NR,75,California Baptist
68,2025-11-03-VTSU Johnson-vs-Central Connecticut-m,2025-11-03,"Detrick Gymnasium, New Britain, Connecticut",Central Connecticut,NR,117,VTSU Johnson,NR,55,Central Connecticut
69,2025-11-03-Appalachian State-vs-Central Michigan-m,2025-11-03,"McGuirk Arena, Mt. Pleasant, Michigan",Central Michigan,NR,82,Appalachian State,NR,66,Central Michigan
70,2025-11-03-Union (KY)-vs-Chattanooga-m,2025-11-03,"The McKenzie Arena, Chattanooga, Tennessee",Chattanooga,NR,92,Union (KY),NR,39,Chattanooga
71,2025-11-03-Erskine-vs-The Citadel-m,2025-11-03,"McAlister Field House, Charleston, South Carolina",The Citadel,NR,105,Erskine,NR,61,The Citadel
72,2025-11-03-Tusculum-vs-College of Charleston-m,2025-11-03,"TD Arena, Charleston, South Carolina",College of Charleston,NR,79,Tusculum,NR,58,College of Charleston
73,2025-11-03-DeSales-vs-Davidson-m,2025-11-03,"Belk Arena, Davidson, North Carolina",Davidson,NR,97,DeSales,NR,63,Davidson
74,2025-11-03-Niagara-vs-Duquesne-m,2025-11-03,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",Duquesne,NR,83,Niagara,NR,63,Duquesne
75,2025-11-03-New College of Florida-vs-Florida Gulf Coast-m,2025-11-03,"Alico Arena, Fort Myers, Florida",Florida Gulf Coast,NR,96,New College of Florida,NR,60,Florida Gulf Coast
76,2025-11-03-Florida National University-vs-Florida International-m,2025-11-03,"FIU Arena, Miami, Florida",Florida International,NR,101,Florida National University,NR,49,Florida International
77,2025-11-03-Bellarmine-vs-Georgia-m,2025-11-03,"Stegeman Coliseum, Athens, Georgia",Georgia,NR,104,Bellarmine,NR,59,Georgia
78,2025-11-03-Huston-Tillotson-vs-Grambling-m,2025-11-03,"Assembly Center, Grambling, Louisiana",Grambling,NR,91,Huston-Tillotson,NR,47,Grambling
79,2025-11-03-Missouri-vs-Howard-m,2025-11-03,"Burr Gymnasium, Washington, District of Columbia",Howard,NR,67,Missouri,NR,88,Missouri
80,2025-11-03-Oakwood-vs-Jacksonville State-m,2025-11-03,"Pete Mathews Coliseum, Jacksonville, Alabama",Jacksonville State,NR,117,Oakwood,NR,63,Jacksonville State
81,2025-11-03-Paine-vs-Kennesaw State-m,2025-11-03,"KSU Convocation Center , Kennesaw, Georgia",Kennesaw State,NR,105,Paine,NR,29,Kennesaw State
82,2025-11-03-Troy-vs-Kent State-m,2025-11-03,"Memorial Athletic & Convocation Center, Kent, Ohio",Kent State,NR,97,Troy,NR,103,Troy
