,Team,Link
0,Duke,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg
1,Clemson,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/clemson.svg
2,Louisville,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/louisville.svg
3,SMU,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/smu.svg
4,Wake Forest,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wake-forest.svg
5,UNC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg
6,Stanford,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stanford.svg
7,Georgia Tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-tech.svg
8,Pitt,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/pittsburgh.svg
9,Florida State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-st.svg
10,Virginia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia.svg
11,Notre Dame,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/notre-dame.svg
12,Virginia Tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-tech.svg
13,Syracuse,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg
14,California,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california.svg
15,NC State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina-st.svg
16,Boston College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-college.svg
17,Miami (FL),https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/miami-fl.svg
18,Bryant,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bryant.svg
19,Vermont,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vermont.svg
20,Maine,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maine.svg
21,Albany (NY),https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-ny.svg
22,Binghamton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg
23,UMass-Lowell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/umass-lowell.svg
24,New Hampshire,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-hampshire.svg
25,UMBC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/umbc.svg
26,NJIT,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/njit.svg
27,Memphis,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/memphis.svg
28,North Texas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-texas.svg
29,UAB,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uab.svg
30,Tulane,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tulane.svg
31,East Carolina,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/east-carolina.svg
32,Florida Atlantic,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fla-atlantic.svg
33,Temple,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/temple.svg
34,Wichita State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wichita-st.svg
35,South Florida,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-fla.svg
