Team,MP,FG,FGA,FT,FTA,3P,3PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,FG%,FT%,3P%,2P%
Abilene Christian,200.0,25.92,58.75,13.92,19.75,6.5,19.25,10.75,20.0,30.75,14.58,9.92,3.5,13.33,21.58,72.25,7.0,5.0,0.44,0.71,0.34,0.49
Adams State,200.0,21.0,61.0,25.0,30.0,5.0,25.0,8.0,31.0,39.0,9.0,7.0,14.0,22.0,24.0,72.0,0.0,1.0,0.34,0.83,0.2,0.44
Adrian,200.0,23.0,69.0,13.0,22.0,8.0,35.0,11.0,19.0,30.0,12.0,15.0,1.0,24.0,21.0,67.0,0.0,1.0,0.33,0.59,0.23,0.44
Air Force,200.0,22.42,50.33,14.17,22.0,6.5,20.5,7.0,21.58,28.58,12.58,6.25,3.25,12.58,17.17,65.5,3.0,9.0,0.44,0.65,0.31,0.53
Akron,200.08,35.25,67.42,14.25,19.08,10.83,28.08,10.58,25.17,35.75,20.92,7.5,3.42,9.67,16.17,95.58,9.0,3.0,0.53,0.73,0.39,0.62
Alabama,200.0,31.75,67.42,18.08,23.75,12.33,35.08,10.33,27.92,38.25,17.25,7.58,7.08,10.33,18.83,93.92,9.0,3.0,0.47,0.76,0.35,0.6
Alabama A&M,200.0,22.25,55.58,15.33,21.75,6.33,19.17,7.92,24.08,32.0,10.17,5.5,2.75,11.33,19.33,66.17,6.0,6.0,0.4,0.72,0.33,0.44
Alabama State,200.0,27.36,63.0,13.55,20.09,8.36,23.18,10.55,21.73,32.27,14.0,8.18,3.18,12.0,18.55,76.64,3.0,8.0,0.43,0.67,0.35,0.47
Alaska-Anchorage,200.0,23.0,56.0,7.0,10.0,8.0,28.0,5.0,12.0,17.0,9.0,11.0,3.0,14.0,23.0,61.0,0.0,1.0,0.41,0.7,0.29,0.54
Albany (NY),200.0,29.14,61.93,9.5,15.43,7.71,23.57,9.36,22.14,31.5,15.57,7.57,3.79,12.0,18.36,75.5,4.0,10.0,0.47,0.61,0.34,0.55
Albany State (GA),200.0,24.0,49.0,20.0,26.0,9.0,22.0,6.0,17.0,23.0,13.0,6.0,0.0,17.0,15.0,77.0,0.0,1.0,0.49,0.77,0.41,0.56
Alcorn State,198.82,24.82,58.55,8.55,13.64,7.36,20.0,8.36,17.45,25.82,10.18,8.09,4.27,16.91,19.09,65.55,1.0,10.0,0.43,0.65,0.37,0.47
Allegheny,200.0,16.0,50.0,7.0,17.0,4.0,22.0,7.0,20.0,27.0,6.0,3.0,6.0,18.0,16.0,43.0,0.0,1.0,0.32,0.41,0.18,0.43
American,200.0,28.17,61.33,15.42,20.75,10.0,28.08,8.67,22.08,30.75,14.25,9.0,1.67,11.75,19.75,81.75,7.0,5.0,0.46,0.73,0.35,0.54
Angelo State,200.0,16.0,55.0,17.0,28.0,5.0,20.0,11.0,20.0,31.0,10.0,6.0,6.0,17.0,24.0,54.0,0.0,1.0,0.29,0.61,0.25,0.31
Appalachian State,201.79,26.29,57.93,12.93,21.21,7.93,25.43,10.21,24.57,34.79,13.43,5.21,3.79,9.14,16.79,73.43,8.0,6.0,0.45,0.61,0.31,0.55
Aquinas,200.0,17.0,53.0,5.0,8.0,11.0,23.0,4.0,16.0,20.0,10.0,7.0,2.0,30.0,18.0,50.0,0.0,1.0,0.32,0.62,0.48,0.2
Arizona,200.0,31.55,61.36,18.55,25.64,6.36,17.55,13.09,27.64,40.73,18.45,8.55,4.0,12.18,16.73,88.0,11.0,0.0,0.52,0.72,0.35,0.58
Arizona State,200.0,26.46,57.0,19.08,25.46,8.0,22.31,7.46,22.38,29.85,13.46,7.31,3.77,10.46,17.77,80.0,9.0,4.0,0.47,0.75,0.36,0.53
Arkansas,200.0,30.58,62.83,19.17,25.42,9.17,23.92,9.92,24.17,34.08,17.58,8.0,4.5,9.58,16.17,89.5,9.0,3.0,0.49,0.76,0.39,0.55
Arkansas Baptist,200.0,23.0,61.67,14.0,16.33,3.67,17.0,6.0,23.67,29.67,7.0,10.67,3.67,14.67,21.67,63.67,0.0,3.0,0.37,0.85,0.21,0.43
Arkansas State,201.92,28.08,61.77,17.92,22.85,7.92,25.62,11.46,24.85,36.31,14.31,7.31,2.38,14.15,19.31,82.0,9.0,4.0,0.45,0.79,0.31,0.55
Arkansas-Pine Bluff,200.0,28.69,65.92,13.54,17.54,7.92,25.0,9.54,22.92,32.46,17.08,7.62,3.31,14.62,20.92,78.85,3.0,10.0,0.43,0.76,0.31,0.5
Arlington Baptist,200.0,20.5,57.5,15.5,21.0,4.0,13.0,4.0,18.5,22.5,11.5,8.5,2.0,22.0,16.0,60.5,0.0,2.0,0.36,0.72,0.32,0.37
Army,202.08,25.42,62.33,10.92,14.75,10.83,33.58,9.92,23.33,33.25,14.58,6.0,1.0,11.67,18.25,72.58,5.0,7.0,0.41,0.74,0.32,0.51
