Team,MP,FG,FGA,FT,FTA,3P,3PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,FG%,FT%,3P%,2P%
Abilene Christian,2400.0,311.0,705.0,167.0,237.0,78.0,231.0,129.0,240.0,369.0,175.0,119.0,42.0,160.0,259.0,867.0,7.0,5.0,0.44,0.71,0.34,0.49
Adams State,200.0,21.0,61.0,25.0,30.0,5.0,25.0,8.0,31.0,39.0,9.0,7.0,14.0,22.0,24.0,72.0,0.0,1.0,0.34,0.83,0.2,0.44
Adrian,200.0,23.0,69.0,13.0,22.0,8.0,35.0,11.0,19.0,30.0,12.0,15.0,1.0,24.0,21.0,67.0,0.0,1.0,0.33,0.59,0.23,0.44
Air Force,2400.0,269.0,604.0,170.0,264.0,78.0,246.0,84.0,259.0,343.0,151.0,75.0,39.0,151.0,206.0,786.0,3.0,9.0,0.44,0.65,0.31,0.53
Akron,2401.0,423.0,809.0,171.0,229.0,130.0,337.0,127.0,302.0,429.0,251.0,90.0,41.0,116.0,194.0,1147.0,9.0,3.0,0.53,0.73,0.39,0.62
Alabama,2400.0,381.0,809.0,217.0,285.0,148.0,421.0,124.0,335.0,459.0,207.0,91.0,85.0,124.0,226.0,1127.0,9.0,3.0,0.47,0.76,0.35,0.6
Alabama A&M,2400.0,267.0,667.0,184.0,261.0,76.0,230.0,95.0,289.0,384.0,122.0,66.0,33.0,136.0,232.0,794.0,6.0,6.0,0.4,0.72,0.33,0.44
Alabama State,2200.0,301.0,693.0,149.0,221.0,92.0,255.0,116.0,239.0,355.0,154.0,90.0,35.0,132.0,204.0,843.0,3.0,8.0,0.43,0.67,0.35,0.47
Alaska-Anchorage,200.0,23.0,56.0,7.0,10.0,8.0,28.0,5.0,12.0,17.0,9.0,11.0,3.0,14.0,23.0,61.0,0.0,1.0,0.41,0.7,0.29,0.54
Albany (NY),2800.0,408.0,867.0,133.0,216.0,108.0,330.0,131.0,310.0,441.0,218.0,106.0,53.0,168.0,257.0,1057.0,4.0,10.0,0.47,0.61,0.34,0.55
Albany State (GA),200.0,24.0,49.0,20.0,26.0,9.0,22.0,6.0,17.0,23.0,13.0,6.0,0.0,17.0,15.0,77.0,0.0,1.0,0.49,0.77,0.41,0.56
Alcorn State,2187.0,273.0,644.0,94.0,150.0,81.0,220.0,92.0,192.0,284.0,112.0,89.0,47.0,186.0,210.0,721.0,1.0,10.0,0.43,0.65,0.37,0.47
Allegheny,200.0,16.0,50.0,7.0,17.0,4.0,22.0,7.0,20.0,27.0,6.0,3.0,6.0,18.0,16.0,43.0,0.0,1.0,0.32,0.41,0.18,0.43
American,2400.0,338.0,736.0,185.0,249.0,120.0,337.0,104.0,265.0,369.0,171.0,108.0,20.0,141.0,237.0,981.0,7.0,5.0,0.46,0.73,0.35,0.54
Angelo State,200.0,16.0,55.0,17.0,28.0,5.0,20.0,11.0,20.0,31.0,10.0,6.0,6.0,17.0,24.0,54.0,0.0,1.0,0.29,0.61,0.25,0.31
Appalachian State,2825.0,368.0,811.0,181.0,297.0,111.0,356.0,143.0,344.0,487.0,188.0,73.0,53.0,128.0,235.0,1028.0,8.0,6.0,0.45,0.61,0.31,0.55
