,GameID,Date,Team,Location,Rank,Points,Result
0,2025-11-03-Lehigh-vs-Houston-m,2025-11-03,Lehigh,away,NR,57,L
1,2025-11-03-Lehigh-vs-Houston-m,2025-11-03,Houston,home, 2 ,75,W
2,2025-11-03-Arizona-vs-Florida-m,2025-11-03,Arizona,away, 13 ,93,W
3,2025-11-03-Arizona-vs-Florida-m,2025-11-03,Florida,home, 3 ,87,L
4,2025-11-03-New Haven-vs-UConn-m,2025-11-03,New Haven,away,NR,55,L
5,2025-11-03-New Haven-vs-UConn-m,2025-11-03,UConn,home, 4 ,79,W
6,2025-11-03-Quinnipiac-vs-St. John's (NY)-m,2025-11-03,Quinnipiac,away,NR,74,L
7,2025-11-03-Quinnipiac-vs-St. John's (NY)-m,2025-11-03,St. John's (NY),home, 5 ,108,W
8,2025-11-03-Oakland-vs-Michigan-m,2025-11-03,Oakland,away,NR,78,L
9,2025-11-03-Oakland-vs-Michigan-m,2025-11-03,Michigan,home, 7 ,121,W
10,2025-11-03-Villanova-vs-BYU-m,2025-11-03,Villanova,away,NR,66,L
11,2025-11-03-Villanova-vs-BYU-m,2025-11-03,BYU,home, 8 ,71,W
12,2025-11-03-South Carolina State-vs-Louisville-m,2025-11-03,South Carolina State,away,NR,45,L
13,2025-11-03-South Carolina State-vs-Louisville-m,2025-11-03,Louisville,home, 11 ,104,W
14,2025-11-03-Eastern Washington-vs-UCLA-m,2025-11-03,Eastern Washington,away,NR,74,L
15,2025-11-03-Eastern Washington-vs-UCLA-m,2025-11-03,UCLA,home, 12 ,80,W
16,2025-11-03-Southern-vs-Arkansas-m,2025-11-03,Southern,away,NR,77,L
17,2025-11-03-Southern-vs-Arkansas-m,2025-11-03,Arkansas,home, 14 ,109,W
18,2025-11-03-North Dakota-vs-Alabama-m,2025-11-03,North Dakota,away,NR,62,L
19,2025-11-03-North Dakota-vs-Alabama-m,2025-11-03,Alabama,home, 15 ,91,W
20,2025-11-03-FDU-vs-Iowa State-m,2025-11-03,FDU,away,NR,50,L
21,2025-11-03-FDU-vs-Iowa State-m,2025-11-03,Iowa State,home, 16 ,88,W
22,2025-11-03-Jackson State-vs-Illinois-m,2025-11-03,Jackson State,away,NR,55,L
23,2025-11-03-Jackson State-vs-Illinois-m,2025-11-03,Illinois,home, 17 ,113,W
24,2025-11-03-Mercer-vs-Tennessee-m,2025-11-03,Mercer,away,NR,61,L
25,2025-11-03-Mercer-vs-Tennessee-m,2025-11-03,Tennessee,home, 18 ,76,W
26,2025-11-03-Green Bay-vs-Kansas-m,2025-11-03,Green Bay,away,NR,51,L
27,2025-11-03-Green Bay-vs-Kansas-m,2025-11-03,Kansas,home, 19 ,94,W
28,2025-11-03-Bethune-Cookman-vs-Auburn-m,2025-11-03,Bethune-Cookman,away,NR,90,L
29,2025-11-03-Bethune-Cookman-vs-Auburn-m,2025-11-03,Auburn,home, 20 ,95,W
30,2025-11-03-Texas Southern-vs-Gonzaga-m,2025-11-03,Texas Southern,away,NR,43,L
31,2025-11-03-Texas Southern-vs-Gonzaga-m,2025-11-03,Gonzaga,home, 21 ,98,W
32,2025-11-03-Colgate-vs-Michigan State-m,2025-11-03,Colgate,away,NR,69,L
33,2025-11-03-Colgate-vs-Michigan State-m,2025-11-03,Michigan State,home, 22 ,80,W
34,2025-11-03-Campbell-vs-Wisconsin-m,2025-11-03,Campbell,away,NR,64,L
35,2025-11-03-Campbell-vs-Wisconsin-m,2025-11-03,Wisconsin,home, 24 ,96,W
36,2025-11-03-Central Arkansas-vs-UNC-m,2025-11-03,Central Arkansas,away,NR,54,L
37,2025-11-03-Central Arkansas-vs-UNC-m,2025-11-03,UNC,home, 25 ,94,W
38,2025-11-03-James Madison-vs-Akron-m,2025-11-03,James Madison,away,NR,71,L
39,2025-11-03-James Madison-vs-Akron-m,2025-11-03,Akron,home,NR,85,W
40,2025-11-03-Hofstra-vs-UCF-m,2025-11-03,Hofstra,away,NR,78,L
41,2025-11-03-Hofstra-vs-UCF-m,2025-11-03,UCF,home,NR,82,W
42,2025-11-03-Indiana State-vs-Charlotte-m,2025-11-03,Indiana State,away,NR,76,L
43,2025-11-03-Indiana State-vs-Charlotte-m,2025-11-03,Charlotte,home,NR,92,W
44,2025-11-03-Western Carolina-vs-Cincinnati-m,2025-11-03,Western Carolina,away,NR,63,L
45,2025-11-03-Western Carolina-vs-Cincinnati-m,2025-11-03,Cincinnati,home,NR,94,W
46,2025-11-03-New Hampshire-vs-Clemson-m,2025-11-03,New Hampshire,away,NR,38,L
47,2025-11-03-New Hampshire-vs-Clemson-m,2025-11-03,Clemson,home,NR,88,W
48,2025-11-03-Canisius-vs-Dayton-m,2025-11-03,Canisius,away,NR,48,L
49,2025-11-03-Canisius-vs-Dayton-m,2025-11-03,Dayton,home,NR,88,W
50,2025-11-03-Boston College-vs-Florida Atlantic-m,2025-11-03,Boston College,away,NR,78,L
51,2025-11-03-Boston College-vs-Florida Atlantic-m,2025-11-03,Florida Atlantic,home,NR,83,W
52,2025-11-03-Wofford-vs-George Mason-m,2025-11-03,Wofford,away,NR,46,L
53,2025-11-03-Wofford-vs-George Mason-m,2025-11-03,George Mason,home,NR,70,W
54,2025-11-03-Maryland-Eastern Shore-vs-Georgia Tech-m,2025-11-03,Maryland-Eastern Shore,away,NR,52,L
